content_length,hashtag_count,emoji_count,has_image,post_time_hour,post_time_day,mentions_count,urls_count,is_product_post,is_promotional,is_engagement_post,has_price,favorite_count,retweet_count,reply_count,engagement_rate,total_engagement
84,2,0,1,15,0,0,1,0,0,0,0,69,15,2,0.0011989033658793,86
143,3,0,1,15,0,2,2,0,0,0,0,46,10,2,0.0008085627351279,58
172,3,0,1,14,0,0,1,0,0,0,0,65,11,2,0.0010873774713789,78
133,3,0,1,14,0,0,1,0,0,0,0,130,20,2,0.0021189919955077,152
165,5,0,1,13,0,0,2,0,0,0,0,29,6,1,0.0005018665252518,36
109,3,0,1,13,0,0,2,0,0,0,0,65,8,3,0.0010594959977538,76
130,4,0,1,12,0,0,2,0,0,0,0,118,33,0,0.0021050512586951,151
134,2,0,1,11,0,1,1,0,0,0,0,1328,1038,221,0.0360646861340691,2587
115,2,0,1,11,0,0,2,0,0,1,0,173,20,4,0.0027463251520725,197
154,3,0,1,10,0,1,2,0,0,1,0,28438,12919,581,0.5846466204447597,41938
176,3,0,1,13,6,0,3,0,0,0,0,343,73,13,0.0059805760925843,429
142,1,0,1,13,5,0,3,0,0,0,0,272,48,7,0.0045586209377041,327
170,1,0,1,13,4,0,3,0,0,0,0,247,71,10,0.0045725616745166,328
303,3,0,1,10,3,0,3,1,0,1,0,178,34,10,0.0030948435723862,222
165,1,0,1,16,2,0,3,0,0,0,0,172,42,3,0.0030251398883235,217
230,2,0,1,10,2,0,3,0,0,1,0,171,41,1,0.0029693769410733,213
216,2,0,0,19,1,0,3,0,0,0,0,177,40,8,0.0031366657828239,225
271,1,0,1,10,1,0,3,0,0,1,0,32,10,1,0.0005994516829396,43
189,3,0,1,7,1,2,1,0,0,1,0,15825,6478,217,0.3139453930186463,22520
293,3,0,1,19,0,0,1,0,1,1,0,155,46,4,0.0028578510465729,205
154,3,0,1,17,0,2,1,0,0,0,0,28332,11567,459,0.5626202562809293,40358
236,4,0,1,15,0,2,1,1,0,0,0,34991,11868,639,0.6621571171225427,47498
